a few;کمی
memnetary;زودگذر ، کم دوام
memo;یاداشت ، یادداشت
memoir;شرح حال
memorable;یاد آوردنی
memorandum;تذکاریه ، شرکت نامه
memorial;لوحهیادبود ، یادبود ، یادگار ، یادبود ، لوحهیادبود
memorial service;مجلس تذکر
memorize;از بر کردن ، از برکردن ، حفظ نمودن ، حفظ کردن ، حاضر کردن
memorized things;محفوظات
memory;یاد ، حافظه ، خاطر
memory map;نگاشت حافظه
memory work;حفظی
men;مردها ، جنس ذکور ، ذکور
men's clothing;لباس مردانه
men-eater;مردمخوار
menace;چشم زهره گرفتن ، چشم زهره رفتن
mend;بندزدن
mendoza;مندوزا
menfis;منفیس
menial;نوکر مابانه
meninges;پاشام
meningitis;مننژیت
menopause;یائسگی ، ایست طمث ، یائسه ، سن یاس
mensal;سفرهای
mense;مزین ساختن
menses;قاعدگی زنان
menstruate;طمث شدن ، قاعده ، قاعده شدن ، حیض شدن
menstruating;حائضه ، حائضه
menstruation;قاعدگی زنان ، حیض ، طمث
menstruous;دشتان
mensurement;اندازه گیری
mentagra;داء الذقن
mental;مغزی ، روانی ، فکری ، دماغی ، هوشی ، روانی ، ذهنی ، زنخی
mental ability;استداد فکری
mental development;رشد فکری
mental disorder;اختلال فکری
mental disturbance;دغدغه خاطر
mental hospital;بیمارستان روانی ، تیمارستان
mental perceptions;ادراک ذهنی
mental powers;نیروی دماغی
mentality;قوه ذهنی ، طرز فکر
mentally;فکرا
mentally challenged;روانی ، روانی ، مخبط
mention;بزبان آوردن ، بر زبان آوردن ، ذکر کردن
mentionable;قابل زکر
mentioned;گفته شده ، مفصله الاسامی ، مذکور
mentioned person;نامبرده
mentioning;ذکر
meow;میومیو کردن
meowing;میومیو
mephistopheles;مفیستوفل
mercedes benz;مرسدس بنز
mercenary;مزدور ، اجیر
mercenary soldier;سربازمزدور ، سرباز مزدور
mercerized;مرسریزه
mercery;جنس بزازی
merchandise;مال التجاره ، متاع ، مالالتجاره ، مبیع
merchant;تاجر ، بازرگان ، سوداگر
merchantman;کشتی تجارتی
merchants;تجار
merchent;کاسب
merciful;رحمن ، خطا بخش ، غفار ، رحیم ، رحمان ، بخشاینده ، بخشنده ، بخشایشگر
mercurial;جیوه دار
mercurialims;داء الزیبق
mercuric;سیمابی
mercurochrome;مرکورکروم
mercurous;جیوه مانند
mercury;زیبق ، سیماب ، آبک ، جیوه
mercury;عطارد
mercury chloride;کلرور جیوه
mercy;بخشایندگی ، رحم ، بخشایش ، رحمت ، اعتدال عناصر
merely;محضا ، فقط ، فقط
meretricious;فاحشه وار
merge;مخلوط کردن ، فرا گرفتن ، موتلف شدن
merger;ادغام
meridian;درجه کمال ، مدار نصف النهار
meringue;مرنگ
merino;پشم مرینوس
merinv;مرینوس
merit;شایستگی داشتن ، شایسته بودن ، سزاواری ، استحقاق ، شایسته بودن ، استحقاق داشتن ، حسب
merits;محسنات
merlin;ترمتای
mermaid;پری دریایی
merry;شاد کام ، شنگ ، شاد دل
merry go round;چرخ گردان
merrymaker;عیاش ، عیاش
mersedeh;مرسده
mersin;مریخی
merv;مرو
mervian;مروزی ، مروزی
mesentery;روده بند
mesghal;مثقآال
meshed;تنیده
meshed;مشهد
meshia;مشیا
meshkin;مشکین
meshwork;کارهای مشبک ، شبکه کاری
mesopotamia;بین النهرین
mess up;ناجور کردن
message;پیام ، پیغام
message source;منشاء پیام
messaging;دلاکی
messenger;رسول ، چاپار ، فرستاده ، بشیر ، پیام آور ، پیک ، پیغامبر ، فرستاده ، پیغام آور
messenger of good news;مژده دهنده
messengers;رسل
messiah;مسیح
messiness;شلوغی
messmate;هم سفره ، همخوراک
messy;شلخته ، ریخت و پاش ، نا مرتب ، شلوغ ، نامرتب ، شلوغ کار ، آشفته ونامرتب ، بهم خورده
messy hair;زلف پریشان
mesterpiece;کار استادانه
metabolism;سوخت و ساز ، متابولیزم
metacarpus;مشط دست
metal;فلزی ، آهنی ، فلز ، آهن دار
metal container;پیت
metal plater;آبکار
metal plating;آبکاری
metal-covered;روئین تن
metallic;روئین
metallize;فلز کردن ، بافلز کار کردن
metallography;فلز شناسی
metalloid;فلز مانند ، شبه فلز
metallurgy;متالورژی ، فلز کاری
metamorphic;دگردیس
metamorphose;مسخ کردن ، دگردیس کردن
metamorphosed;مسخ شدن
metamorphosis;تغییر شکل ، دگردیسی ، مسخ
metaphase;پسگاه
metaphor;کنایه ، مجاز ، استعاره ، صنعت استعاره
metaphorical;استعارهای ، تشبیهی ، کنایهای
metaphorically;بر سبیل استعاره
metaphysic;ماوراء الطبیعه ، ماوراء طبیعت
metaphysical;علوم معقول ، وابسته به ماوراء طبیعی ، ماوراء الطبیعی
metaphysics;فلفسه ماوراء طبیعی ، ماوراءالطبیعه ، ماوراء الطبیعه ، ماوراء طبیعت ، ماوراءالطبیعه
metastable;کم ثبات
metastasis;هجوم مرض
metatarsus;مشط پا
meteor;شخانه ، شهاب ، سنگ آسمانی ، شهاب ثاقب
meteoric;شهابی ، درخشان وزودگذر
meteorite;شخانه
meteoroid;احجار سماوی ، سنگ آسمانی ، شهاب ثاقب
meteorologist;جوشناس ، هواشناس ، جو شناس
meteorology;هواشناسی ، جو شناسی ، علم هواشناسی
meter;متری ، سنج ، سنجنده ، وزن ، کنتور ، اندازه گیر ، متر ، پارکومتر
metet;گز
method;متد ، ترتیب ، طریقه ، طور ، غلق ، سبک ، راهو رسم ، روش ، طرز ، اسلوب ، سیاق ، شیوه ، نحو ، سیستم ، نهج ، سیاقت ، نحوه
method of listening;شیوه شنیدن
methodize;متدیست کردن ، قاعدهای کردن ، اصولی شدن
methodless;بی سبک
methodology;علم اصول ، اصل شناسی
methods;انحاء ، طرق
methyl;متیل
meticulous;خیلی دقیق
meticulousness;ذره بینی
metol;متول
metre;سجع وقافیه ، سنجنده ، وزن شعر ، مصرف سنج
metronome;میزانه شمار
metropolis;مادرشهر ، شهر بزرگ
metropolitan;مطران ، مطرانی
mettle;خمیره
mew;عوض شدن ، میومیو کردن ، صدای گربه
mexican;مکزیکی
mexican;مکزیکی
mexico;مکزیک ، مکزیکو
mexicocity;مکزیکوسیتی
mezzanine;نیم اشکوب ، نیم اشکوب
miami;میامی
mica;طلق ، میکا
michael;مایکل
michael;فرشته اعظم
michael koln hoffer;مایکل کلن هوفر
michelin;میشلین
michelin brendle;میشلین بریندل
michigan;میشیگان
micro;میلیونیم ، میکرو
microbe;زیاچه ، میکرب
microbe-killing;میکروب کش
microcosm;عالم صغیر
microfiche;میکرو فیش
microfilm;میکرو فیلم
microgranite;ریز خارا
micrograph;ریزنگار
micrography;خردنگاری ، ریزنگاری
microlithic;ریز دانه
micrometer;ریزسنج
micrometry;ریز سنجی
micron;میکرون
micronucleus;خرده هسته
microorganism;ریزجاندار ، ریزجاندار
microparasite;ریز انگل
microphagous;ریزه خوار
microphagy;ریزه خواری ، ریز خواری
microphone;میکروفن ، میکروفن
microscope;ریزبین ، میکروسکپ
microscopy;ریز بینی
microsecond;میکرو ثانیه
microseism;زلزله خفیف
microspore;خردهاگ
microwave;میکرو ویو
microwave oven;اجاق میکروویو
midday;نیمروز
midden;توده کثافت
middle;پابمیان ، وسطی ، وسط ، متوسطه ، بحبوحه ، میانه ، اثناء ، میان ، میانی
middle age;میان سال
middle aged;میان سال
middle class;طبقه متوسط
middle ear;گوش میانی ، گوش وسط
middle east;شرق میانه ، خاورمیانه
middle east news line;میدل ایست نیوز لاین
middle finger;انگشت میان
middle sized;میان اندازه
middle-aged;میانسال ، میان سال ، میانه سال ، متوسط السن
middle-sized;میان قد ، متوسط القامه
middleman;واسطه
middling;جمله مشترک
midget;ریز اندام ، کوتوله ، کوتوله
midland;بین الارضین ، بین الارضین
midnight;نصف شب ، نیمشب ، نیمه شب
midsection;میان بخش
midshipman;ناو آموز
midst;قسمت وسط ، بحبوحه ، در وسط
midway;وسط مسیر
midwife;ماما ، ماما ، ماماچه
midwifery;مامایی
mig;میگ
might;ممکن بودن
mighty;توانا ، اقویا
migraine;میگرن
migrant;کوچگر ، کوچگر
migrate;کوچ دادن ، کوچیدن
migration;کوچ
migratory;مهاجرت کننده
miguel;میگل
mike;مایک
mike tyson;مایکتایسون
mikhail;میکائیل
mikhail gorbachev;میخائیل گوربآچف
mikle;مایکل
milady;زن مدیست
milch;دوشا ، شیرده ، شیر دوشیدن
mild;بدون شدت ، ملایم ، نرم ، معتدل
mild chancre;آتشک
milderness;ملایمت
mildew;سفیدک زدن ، پرمک ، زنگ گیاهی
mildly;نرم نرم
mildness;نرمی
mile;میل
milestone;مرحله برجسته
milgard;میلگارد
miliaria;عرق سوز
miliary;ارزنی ، عرق گزی ، عرق گز
militant;جنگ طلب
militarist;ارتش گرای
militarize;جنگ طلب کردن ، نظامی کردن
military;نظام ، ارتشی ، ارتش ، جنگی ، نظامی ، لشکری ، لشکری
military airport;فرودگاه نظامی
military attache;وابسته نظامی
military campaign;لشکرکشی
military college;دانشکده افسری
military equipment;تجهیزات نظامی
military exercise;تمرین جنگی
military force;نظامی ، نیروی نظامی
military forces;نیروهای نظامی
military organizer;رزم آرا
military police department;دژبانی
military policeman;دژبان
military school;مدرسه نظامی
military service;خدمت نظام ، نظام سربازی ، سربازی
military strategy;تدبیرجنگی
military-like;شبهنظامی
milk;دوشانیدن ، لبنچ ، شیر ، دوشیدن ، حلب ، شیره گیاهی
milker;دوش ، دوشیدن ، دوشنده
milking;شیردوشی ، شیرخوار
milkman;شیر فروش
milktooth;دندان شیری
milkweed;شیر گیاه
milkwort;حشیش الحلب
milky;شیری رنگ ، شیردار ، شیری
milky way;راهشیری
milky way;راه شیری
mill;کنگرهدار کردن ، کنگره دار کردن ، آسیاب ، آسیاب شدن ، آسیاب کردن
millboard;مقوای کلفت
milldam;سر آسیاب
millennium;هزارمین سال ، هزاره
miller;آسیابان
miller;میلر
millesimal;هزارهای
milliampere;میلیمتر
milliard;هزار میلیون
millimeter;میلیمتر ، میلی متری
milling;زنجیره سکه ، آرد سازی
million;میلیون ، میلیون
millionaire;میلیونر
millions;میلیون ها
millipede;هزارپا
millisecond;میلی ثانیه
millitary service;خدمت وظیفه
millrace;جوی آسیاب
millstone;بار سنگین ، طاحونه
milosovich;میلوسویچ
milt;اسپرز
mimic;تقلید در آوردن ، ادا در آوردن
mimicker;مقلد ، مقلد
mimicking;ادا و اطوار
mimicry;شکلک سازی
min;مین
mina;مینا
minaret;منار ، گلدسته
mince;ریز ریز کردن ، ریزه ریزه کردن ، لفت دادن ، گوشت قیمه ، قیمه کردن
minced;ریز ریز
mincing;قیمه شده
mind;ملتفت بودن ، ذهن ، فکر ، خاطر
mindful;در فکر
mindless;بی مخ
mine;مال من ، معدن حفر کردن ، معدن ، کان ، مین
miner;معدن چی ، کانکن
